formula	expected	status
=1+2	3	supported
=1+2*3	7	supported
=SUM(B1:B2)	12	supported
=PRODUCT(B1:B2)	range product	supported
=MEDIAN(B1:B3)	median with interpolation for even counts	supported
=MODE(B1:B3)	most frequent value with smallest tied mode	supported
=SUMSQ(B1:B2)	sum of squares	supported
=STDEV(B1:B3)	sample standard deviation	supported
=STDEVP(B1:B3)	population standard deviation	supported
=STDEV.S(B1:B3)	Google Sheets sample standard deviation alias	supported
=STDEV.P(B1:B3)	Google Sheets population standard deviation alias	supported
=VAR(B1:B3)	sample variance	supported
=VARP(B1:B3)	population variance	supported
=VAR.S(B1:B3)	Google Sheets sample variance alias	supported
=VAR.P(B1:B3)	Google Sheets population variance alias	supported
=AVEDEV(B1:B3)	average absolute deviation from mean	supported
=DEVSQ(B1:B3)	sum of squared deviations from mean	supported
=GEOMEAN(B1:B3)	geometric mean of positive values	supported
=HARMEAN(B1:B3)	harmonic mean of positive values	supported
=LARGE(B1:B3,2)	nth largest value	supported
=SMALL(B1:B3,2)	nth smallest value	supported
=RANK(B1,B1:B3)	rank of a number in a numeric range with optional ascending order	supported
=RANK.EQ(B1,B1:B3)	Google Sheets dotted alias for RANK equal-rank semantics	supported
=RANK.AVG(B1,B1:B3)	Google Sheets dotted rank with averaged ties	supported
=CORREL(B1:B3,C1:C3)	Pearson correlation coefficient for equal-length numeric ranges	supported
=PEARSON(B1:B3,C1:C3)	Pearson correlation coefficient alias for equal-length numeric ranges	supported
=COVAR(B1:B3,C1:C3)	population covariance for paired numeric ranges	supported
=COVARIANCE.P(B1:B3,C1:C3)	population covariance for paired numeric ranges	supported
=COVARIANCE.S(B1:B3,C1:C3)	sample covariance for paired numeric ranges	supported
=SLOPE(C1:C3,B1:B3)	linear regression slope for paired numeric ranges	supported
=INTERCEPT(C1:C3,B1:B3)	linear regression intercept for paired numeric ranges	supported
=RSQ(C1:C3,B1:B3)	coefficient of determination for paired numeric ranges	supported
=FORECAST(4,C1:C3,B1:B3)	linear regression prediction for x over paired numeric ranges	supported
=PERCENTILE(B1:B3,0.75)	interpolated percentile	supported
=PERCENTILE.INC(B1:B3,0.75)	Google Sheets inclusive percentile alias	supported
=QUARTILE(B1:B3,3)	quartile as percentile shorthand	supported
=QUARTILE.INC(B1:B3,3)	Google Sheets inclusive quartile alias	supported
=COMBIN(8,2)	combinations without order	supported
=COMBINA(5,3)	combinations with replacement	supported
=PERMUT(4,2)	permutations with order	supported
=PERMUTATIONA(3,2)	permutations with replacement	supported
=FACT(5)	factorial with decimal truncation	supported
=FACTDOUBLE(7)	double factorial with decimal truncation	supported
=GCD(24,96,14)	greatest common divisor with decimal truncation	supported
=LCM(2,3,14)	least common multiple with decimal truncation	supported
=STANDARDIZE(96,80,6.7)	normalized z-score	supported
=FISHER(0.5)	Fisher transformation	supported
=FISHERINV(0.5493061443340548)	inverse Fisher transformation	supported
=DELTA(B1,B2)	Kronecker delta comparison with optional second argument	supported
=GESTEP(B1,B2)	greater-than-or-equal step comparison with optional second argument	supported
=ERF(1)	error function approximation	supported
=ERF.PRECISE(1)	Google Sheets alias for ERF	supported
=ERFC(1)	complementary error function approximation	supported
=ERFC.PRECISE(1)	Google Sheets alias for ERFC	supported
=BASE(255,16,4)	decimal integer to padded base-2-through-36 text	supported
=DECIMAL("FF",16)	base-2-through-36 text integer to decimal number	supported
=IF(B1>B2,1,0)	conditional numeric branch selection	supported
=IF(B1>B2,1,1/0)	lazy conditional branch evaluation	supported
=IFS(B1>B2,1/0,B2>B1,42)	lazy first-true numeric branch selection	supported
=IFERROR(1/0,42)	fallback for formula errors	supported
=IFNA(MODE(1,2),42)	fallback for N/A only	supported
=CHOOSE(2,10,20,1/0)	lazy numeric selection by 1-based index	supported
=SWITCH(2,1,1/0,2,42,0)	lazy numeric or text case selection with optional default	supported
=ISERROR(1/0)	error predicate as numeric 1 or 0	supported
